company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""Amerisourcebergen""",27194007,2020-03-28 13:30:12+00:00, ,1243893150407626752,en,1,0,0,0,Hootsuite Inc.,"Communities everywhere are continuing to feel the impacts of #COVID19. As a result, the AmerisourceBergen Foundation has announced donations to support communities, individuals and nonprofits impacted by the global pandemic. Read more: https://t.co/nscg4jOfQN https://t.co/IihhoD0WAV"
"""Amerisourcebergen""",166539231,2020-03-27 20:47:16+00:00, ,1243640755794649089,en,0,0,0,0,PressReleasePoint.Com,"https://t.co/twjKJk7xbm The AmerisourceBergen Foundation Commits Global Support to Aid Communities, Individuals and Associates Impacted by COVID-19"
"""Amerisourcebergen""",288863891,2020-03-27 15:15:06+00:00, ,1243557162883977217,en,6,1,0,1,Hootsuite Inc.,"Communities everywhere are continuing to feel the impacts of #COVID19. As a result, the AmerisourceBergen Foundation has announced donations to support communities, individuals and nonprofits impacted by the global pandemic. Read more: https://t.co/mY9WLY1nrt https://t.co/hCDd05i52r"
"""Amerisourcebergen""",16366271,2020-03-27 12:49:02+00:00, ,1243520405270192129,en,0,0,0,0,dlvr.it,"The AmerisourceBergen Foundation Commits Global Support to Aid Communities, Individuals and Associates Impacted by COVID-19 https://t.co/nC9Jh4uU2k"
"""Amerisourcebergen""",976297820532518914,2020-03-27 12:31:34+00:00, ,1243516009975185408,en,0,0,0,0,dlvr.it,"The AmerisourceBergen Foundation Commits Global Support to Aid Communities, Individuals and Associates Impacted by COVID-19 https://t.co/TnpcUIylRO https://t.co/SYUHd8VPzs"
"""Amerisourcebergen""",288863891,2020-04-27 17:45:05+00:00, ,1254828929640251394,en,4,0,0,1,Hootsuite Inc.,"We are supporting various regional organizations that will provide immediate grants to those affected by #COVID19 like #MontCoPA COVID-19 Response Fund which provides grants to nonprofit organizations serving vulnerable populations in Montgomery County PA
https://t.co/XUncuOl7Rs https://t.co/Rh4ViMFkMj"
"""Amerisourcebergen""",137387199,2020-04-23 13:12:28+00:00, ,1253310775701188610,en,0,0,0,0,Hootsuite Inc.,"Recent AmerisourceBergen Foundation grants include our partner @DirectRelief In response to COVID-19, they have allocated emergency support to US community health centers. Learn more: https://t.co/dU8lAN71aa https://t.co/SbrAAs7CWm"
"""Amerisourcebergen""",90886859,2020-04-23 13:12:00+00:00, ,1253310655421169664,en,0,0,0,0,Hootsuite Inc.,"Recent AmerisourceBergen Foundation grants include our partner @DirectRelief. In response to COVID-19, they have allocated emergency support to US community health centers. Learn more: https://t.co/wZOvKBG4VH https://t.co/Y5dwRISdb8"
"""Amerisourcebergen""",288863891,2020-04-22 18:35:05+00:00, ,1253029576328036357,en,4,0,0,0,Hootsuite Inc.,"Recent AmerisourceBergen Foundation grants include our  partner @DirectRelief. In response to COVID-19, they have allocated emergency support to US community health centers. Learn more: https://t.co/LzLavaWCtq https://t.co/i0TXg42wLg"
"""Amerisourcebergen""",137387199,2020-04-16 15:04:40+00:00, ,1250802293601165312,en,0,0,0,0,Hootsuite Inc.,The AmerisourceBergen Foundation has committed grant donations to various healthcare relief organizations in response to the COVID-19 pandemic. Our partner @Americares will be providing mental health and psychosocial support expertise. Learn more: https://t.co/E0zaLoklte https://t.co/UeVwWfQGBP
"""Amerisourcebergen""",90886859,2020-04-16 15:04:24+00:00, ,1250802226634858496,en,0,0,0,0,Hootsuite Inc.,The AmerisourceBergen Foundation has committed grant donations to various healthcare relief organizations in response to the COVID-19 pandemic. Our partner @Americares will be providing mental health and psychosocial support expertise. Learn more: https://t.co/P4SN4FXl1e https://t.co/auV1mVOoMS
"""Amerisourcebergen""",288863891,2020-04-15 20:01:12+00:00, ,1250514530062524416,en,3,1,1,1,Hootsuite Inc.,The AmerisourceBergen Foundation has committed grant donations to various healthcare relief organizations in response to the COVID-19 pandemic. Our partner @Americares will be providing mental health and psychosocial support expertise. Learn more https://t.co/F4g9mWK8zQ https://t.co/v9nyEE5bWH
"""Amerisourcebergen""",136381691,2020-04-10 16:02:25+00:00, ,1248642501076037633,en,0,0,0,1,Hootsuite Inc.,"The AmerisourceBergen Foundation has announced donations to support communities, individuals and nonprofits impacted by the #COVID19 global pandemic. Read more: 
https://t.co/eIz4PxUWdy https://t.co/tfMZvDSisi"
"""Amerisourcebergen""",1149019824720363520,2020-04-02 19:26:10+00:00, ,1245794671806296075,en,0,0,0,0,Twitter for iPhone,Barry Fortner sends urgent request to Congress to support community based physician practices with needed COVID-19 stimulus assistance. https://t.co/BLLJFesN6E
