company,author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
"""adobe""",1228001284017377280,2020-04-23 15:57:43+00:00, ,1253352361709502468,en,5,0,0,4,Twitter for iPhone,"OUR 2ND FOOD &amp; SUPPLY DRIVE IS THIS WEEK!! 
Food Donations: Thurs 8am-4pm 
Supply Donations: Fri 10am-6pm
Drop off: Verano Pl Basketball Court (6529 Adobe Cir Rd, S)
Pick up option also available! 
Check out https://t.co/ZV2XYUHDl4 for more info, mutual aid &amp; COVID-19 Resources https://t.co/UoquL9ab6S"
"""adobe""",14112296,2020-04-23 02:15:02+00:00, ,1253145326267088898,en,1,0,0,0,Hootsuite Inc.,You can also take part in this project https://t.co/EozFL64FHG
"""adobe""",902562087993581568,2020-04-22 14:16:49+00:00, ,1252964581917569024,en,11,1,0,5,Twitter Web App,"@INPREP_EU + @FIREINProject partners the Italian Fire and Rescue Service .@emergenzavvf have published a report on measures they adopted to ensure continuity of technical #emergency services in Italy during #COVID19. 

Read the report: https://t.co/gcAopTGUeA #H2020 #EUresearch https://t.co/cO7waG5tjU"
"""adobe""",4689214290,2020-04-22 12:33:58+00:00, ,1252938698901131264,en,0,0,0,0,Twitter Web App,"After the #AdobeSummit, #MeetMagentoUK2020, originally scheduled for June 17th, has also been called off. Instead, the management has decided to go for an online event and encouraging people to donate 20 pounds for the #Covid19 relief fund. 

https://t.co/ExoheFfWsG

@Adobe"
"""adobe""",14112296,2020-04-22 02:30:04+00:00, ,1252786722083147777,en,2,0,0,0,Hootsuite Inc.,The campaign will see creatives express gratitude through original works https://t.co/ubLyhAewxH
"""adobe""",1228001284017377280,2020-04-22 02:23:38+00:00, ,1252785100028174339,en,2,0,0,1,Twitter for iPhone,"OUR 2ND FOOD &amp; SUPPLY DRIVE IS THIS WEEK!! 
Food Donations: Thurs 8am-4pm 
Supply Donations: Fri 10am-6pm
Drop off: Verano Pl Basketball Court (6529 Adobe Cir Rd, S)
Pick up option also available! 
Check out https://t.co/ZV2XYUZecC for more info, mutual aid &amp; COVID-19 Resources https://t.co/DdSYqBGHTF"
"""adobe""",16656386,2020-04-20 14:11:04+00:00, ,1252238358711013376,en,0,0,0,1,Viraltag,Adobe Debuts COVID-19 Relief Art Campaign Including Tribute From OBEY Founder via @designtaxi https://t.co/0sQXpxmw6C
"""adobe""",309327216,2020-04-20 13:54:28+00:00, ,1252234181624487941,en,0,0,0,0,Twitter for iPhone,Adobe Debuts COVID-19 Relief Art Campaign Including Tribute From OBEY Founder https://t.co/YnJSsH2LQB
"""adobe""",75217958,2020-04-20 07:22:22+00:00, ,1252135503350116352,en,0,0,0,0,IFTTT,You can also take part in this project https://t.co/WFuaAAM0w3 #GraphicDesigner #Webdesigner #Design
"""adobe""",14112296,2020-04-20 03:00:05+00:00, ,1252069498905079808,en,5,0,0,1,Hootsuite Inc.,You can also take part in this project https://t.co/wl5pmUfHG8
"""adobe""",2869209645,2020-04-19 13:43:16+00:00, ,1251868975350403074,en,1,0,1,0,Twitter Web App,"@IRSnews The ‘‘Coronavirus Aid, Relief, and Economic Security Act’’ or the ‘‘CARES Act’’ states otherwise. I challenge the IRS to explain to all American Taxpayers the following pages of this bill...https://t.co/gmWVEZGT9k https://t.co/ATbRvhM3Jf"
"""adobe""",14112296,2020-04-19 02:00:05+00:00, ,1251692011696132098,en,12,0,0,4,Hootsuite Inc.,The campaign will see creatives express gratitude through original works https://t.co/XllvopZA2G
"""adobe""",180687225,2020-04-18 12:00:30+00:00, ,1251480721392308224,en,1,0,0,1,Hootsuite Inc.,You can also take part in this project  https://t.co/fokmtF6coc
"""adobe""",580207035,2020-04-17 22:15:35+00:00, ,1251273125699837953,en,1,0,0,0,Twitter Web App,"https://t.co/svGBnSdf8X ""Adobe Debuts COVID-19 Relief Art Campaign Including Tribute From OBEY Founder"" https://t.co/hLslqUqfY5"
"""adobe""",20978866,2020-04-17 19:22:25+00:00, ,1251229549456756738,en,1,0,0,0,Twitter for iPhone,"Don’t know who needs to hear this but if you have an Adobe Creative Cloud subscription and are impacted by Coronavirus, type “Covid Relief” You May just get 3 a month freeze on payments. Thank me later!"
"""adobe""",14112296,2020-04-17 12:01:09+00:00, ,1251118500929835008,en,2,0,0,1,Hootsuite Inc.,You can also take part in this project  https://t.co/7of935HvOz
"""adobe""",151447149,2020-04-17 08:20:41+00:00, ,1251063016403226624,en,0,0,0,0,Twitter Web App,@Adobe Adobe still continue to take off over R1000 for the use of their Creative cloud Apps. How about some relief Adobe? A discount perhaps? #coronavirus @creativecloud  @Photoshop
"""adobe""",20546557,2020-04-16 18:20:10+00:00, ,1250851494728998912,en,16,2,0,11,TweetDeck,Hoping our friends at @Adobe @thinkTANKphoto @photoshelter @NikonUSA @CanonUSA @SonyAlpha @BHPhotoVideo @manfrotto_uk @Hasselblad @LeicaCameraUSA @Profoto @adorama and @PhotoBrigade can help spread the word. We’re making one last push for funding: https://t.co/2BSW0hnoMS
"""adobe""",62803355,2020-04-16 13:50:40+00:00, ,1250783672854331392,en,1,0,0,0,Twitter Web App,"IMF PROVIDES 6 MONTHS DEBT RELIEF TO 
25 POOR COUNTRIES
of course 19 are in AFRIKA
‼
MEMA COVID-19 RESPONSE COMMAND
SITUATION UPDATE APR 15th, 2020
https://t.co/1Ze1Nymh7b
☼
WATCH 
'C O N T A I N M E N T'~THE MOVIE
https://t.co/ukFI7UMVEQ
on S☼▲←G☼
https://t.co/RJjpTonvxn"
"""adobe""",75313145,2020-04-14 18:03:54+00:00, ,1250122623222071296,en,0,0,0,0,Twitter Web App,"@resilienceoc has partnered with Santa Ana Building Healthy Communities on the In’Lakesh Relief Fund to provide financial relief to working-class &amp; immigrant families impacted by the COVID-19. See https://t.co/adgJxBVw60
#kNOwHATE #SpreadCompassionNotCOVID #WeAreInThisTogether https://t.co/ycaXYVQ7Hi"
